0 4 6 32767 32767 9 32767 32767 32767 32767 5 7
4 0 2 8 32767 32767 1 32767 32767 9 32767 7
6 2 0 32767 6 32767 32767 32767 32767 1 32767 32767
32767 8 32767 0 1 7 32767 32767 32767 32767 32767 3
32767 32767 6 1 0 32767 32767 32767 32767 32767 6 32767
9 32767 32767 7 32767 0 32767 32767 32767 3 32767 32767
32767 1 32767 32767 32767 32767 0 7 32767 32767 32767 32767
32767 32767 32767 32767 32767 32767 7 0 4 8 32767 32767
32767 32767 32767 32767 32767 32767 32767 4 0 1 1 32767
32767 9 1 32767 32767 3 32767 8 1 0 32767 4
5 32767 32767 32767 6 32767 32767 32767 1 32767 0 3
7 7 32767 3 32767 32767 32767 32767 32767 4 3 0
